"year","Area","N","n","var_all_kg","se_all_kg","var_tau_lrg_kg","se_lrg_kg"
1992,"1",43,43,0.14942657585825,0.0589494414550832,0.138989105988592,0.00867005645006218
1992,"2",131,131,0.0676976731650029,0.0227327105957595,0.100895312335727,0.0024247345395536
1992,"3",175,175,0.13035292499179,0.0272923772708781,0.320819954768195,0.00323662689000198
1993,"1",43,43,0.0877733909191584,0.0451801023602509,0.0814991128965026,0.00663908127381781
1993,"2",130,129,0.0577758428145498,0.0210814980518919,0.0806243177358889,0.00218418627605663
1993,"3",152,152,0.0154509806552806,0.0100822214080818,0.0271799156666034,0.0010846271329013
1994,"1",44,44,0.0420399894291755,0.030910423892411,0.021540452701516,0.00333560592565712
1994,"2",132,130,0.0413193400416378,0.0176925211133332,0.0299677145873959,0.00131145345234927
1994,"3",179,179,0.0819662163705982,0.0213988743465499,0.0717389542799716,0.0014963200313695
1995,"1",44,44,0.0736465708245243,0.0409119261408867,0.0365900520621994,0.00434739235405107
1995,"2",130,130,0.0576729206917114,0.0210627123484774,0.0368260980271109,0.00147616362739997
1995,"3",176,176,0.0970169650649351,0.0234783465357075,0.128774973301472,0.00203893352340955
1996,"1",44,2,0.103381073995772,0.0484723618522996,0,0
1996,"2",131,22,0.0872651011156782,0.0258098006587293,0,0
1996,"3",175,NA,0.0595299475862069,0.0184437287191077,NA,NA
1997,"1",44,43,0.102038873150106,0.0481566744996583,0.0821586759248261,0.00651439426238531
1997,"2",128,127,0.0505542746062992,0.0198734815863178,0.0313493066174508,0.00138326057838907
1997,"3",173,172,0.064590100282296,0.0193223492573372,0.0584229517042658,0.00139715839434148
1998,"1",44,44,0.024743156448203,0.0237138032532086,0.0162760715462489,0.00289949336076072
1998,"2",132,132,0.0502271040943789,0.0195066236020321,0.0201631774391951,0.00107573563355757
1998,"3",88,88,0.0114392945402299,0.0114014026949189,0.00751462708938677,0.000985078963448445
1999,"1",44,44,0.0428057589852008,0.0311906742273162,0.0162098117655851,0.00289358543260389
1999,"2",130,116,0.120608430292188,0.0304591062917768,0.386501960845084,0.00478225245167415
1999,"3",172,172,0.0451217161702706,0.016196776195573,0.0428757239285099,0.00120386360750246
2000,"1",44,44,0.0275106321353066,0.025004832321749,0.0160474421358628,0.00287905679787386
2000,"2",130,130,0.13462816129994,0.0321807588594298,0.122615440424907,0.00269357596967904
2000,"3",175,175,0.157960419244663,0.0300438174523871,0.189183769161387,0.00248544346085493
2001,"1",44,44,0.173656422832981,0.0628230601178242,0.131273638144486,0.00823447820283581
2001,"2",131,130,0.24822341867293,0.0435297054555308,0.276247323285434,0.0040121553791449
2001,"3",176,176,0.123617461688312,0.0265023006814665,0.157797084762283,0.00225702734058269
2002,"1",44,38,0.115830344080338,0.0513079703360763,0.0950489665657069,0.00700682100395466
2002,"2",129,129,0.485928781007752,0.0613749930774244,0.476652671725918,0.00535194085737164
2002,"3",131,131,0.0984153665296535,0.0274091652539989,0.138972634130935,0.00284572775076919
2003,"1",44,44,0.11495355602537,0.0511134113394754,0.0498860487314911,0.00507617840059782
2003,"2",132,132,0.618672283830673,0.0684610198663551,0.762283248086526,0.00661430560017142
2003,"3",176,176,0.159326465974026,0.030087605607892,0.281164770450232,0.00301278252619989
2004,"1",44,44,0.735079773255814,0.129253079201568,0.334909746100903,0.0131525880089476
2004,"2",132,132,0.534359154522323,0.0636252733828932,0.242835407426598,0.00373320702316856
2004,"3",176,176,0.13623218961039,0.0278216917508122,0.160956642895493,0.00227951148585317
2005,"1",44,44,0.305497720930233,0.0833254464202962,0.167962561640223,0.00931437177207243
2005,"2",132,132,0.526045748033773,0.0631284013805349,0.139580454984267,0.00283033846524387
2005,"3",173,173,0.246976316574808,0.0377837103303576,0.156363767822193,0.00228571437868542
2006,"1",42,4,0.381606784321535,0.0953198605600081,1.31586081943029,0.0273121373290708
2006,"2",132,12,0.531564626188241,0.0634586853303022,23.0657362681753,0.0363839402502915
2006,"3",172,16,0.359050927774427,0.0456892262359232,47.5546859724963,0.0400929684432867
2007,"1",43,4,0.575509649281785,0.115689002641282,25.136713606083,0.116596574905336
2007,"2",131,12,1.14978188120787,0.0936854360359758,74.9270871230257,0.0660766670787166
2007,"3",175,16,0.529232007979592,0.0549925713414142,28.6736035015519,0.030598707990092
2008,"1",44,4,0.713976635112766,0.127384228643535,4.88311116197001,0.0502221879469084
2008,"2",132,12,1.12175686369513,0.0921854547002748,37.5493701566143,0.0464223794505977
2008,"3",172,16,1.14592597673397,0.0816232830131737,8.29870192829942,0.0167485277077685
2009,"1",87,8,1.3493160640248,0.124536661454618,31.2230140012581,0.0642270772566687
2009,"2",132,12,0.935297756286494,0.0841759411160723,84.3734745703172,0.0695871477362646
2009,"3",132,12,0.594756253004313,0.0671247285985322,8.44859080069812,0.0220200452348062
2010,"1",88,8,0.537613662048896,0.0781616668172228,26.6903086466577,0.0587075728712231
2010,"2",130,12,0.467622389323736,0.0599757893027701,8.67598076781535,0.0226577060415656
2010,"3",132,12,0.241918061247423,0.042810192538784,1.65474903211449,0.00974523096886403
2011,"1",87,8,2.28117418246713,0.161927122193662,86.3488250704994,0.106809274140759
2011,"2",131,12,0.886997472189376,0.0822859226730059,9.96071653729873,0.0240920632621061
